Latitude Longitude Value
   71.000   72.500 -1.0811889648e+01
   70.750   71.500 -1.0557983398e+01
   70.750   71.750 -1.0415405273e+01
   70.750   72.000 -1.0272827148e+01
   70.750   72.250 -1.0269897461e+01
   70.750   72.500 -1.0266967773e+01
   70.500   71.500 -1.0283569336e+01
   70.500   71.750 -1.0097045898e+01
   70.500   72.000 -9.9534912109e+00
   70.500   72.250 -9.9495849609e+00
   70.500   72.500 -9.8431396484e+00
   70.250   71.500 -9.8333740234e+00
   70.250   71.750 -9.6234130859e+00
   70.250   72.000 -9.4046630859e+00
   70.250   72.250 -9.3333740234e+00
   70.250   72.500 -9.2415771484e+00
   70.000   71.500 -9.1253662109e+00
   70.000   71.750 -8.9232177734e+00
   70.000   72.000 -8.7015380859e+00
   70.000   72.250 -8.6302490234e+00
   70.000   72.500 -8.5872802734e+00
Latitude Longitude Value
   71.000   71.500 1.3799743652e+00
   71.000   71.750 1.2764587402e+00
   71.000   72.000 1.1084899902e+00
   71.000   72.250 6.0263061523e-01
   71.000   72.500 7.4310302734e-02
   70.750   71.500 1.8204040527e+00
   70.750   71.750 1.7032165527e+00
   70.750   72.000 1.5860290527e+00
   70.750   72.250 1.1036071777e+00
   70.750   72.500 6.1923217773e-01
   70.500   71.500 2.1827087402e+00
   70.500   71.750 2.1036071777e+00
   70.500   72.000 1.9844665527e+00
   70.500   72.250 1.4952087402e+00
   70.500   72.500 1.0049743652e+00
   70.250   71.500 2.3946228027e+00
   70.250   71.750 2.3711853027e+00
   70.250   72.000 2.3819274902e+00
   70.250   72.250 1.9483337402e+00
   70.250   72.500 1.4883728027e+00
   70.000   71.500 2.7862243652e+00
   70.000   71.750 2.7989196777e+00
   70.000   72.000 2.8096618652e+00
   70.000   72.250 2.3702087402e+00
   70.000   72.500 1.9649353027e+00
Latitude Longitude Value
   71.000   71.500 -3.3186798096e+00
   71.000   71.750 -3.5325469971e+00
   71.000   72.000 -3.7591094971e+00
   71.000   72.250 -4.2473907471e+00
   71.000   72.500 -4.8137969971e+00
   70.750   71.500 -3.3020782471e+00
   70.750   71.750 -3.5667266846e+00
   70.750   72.000 -3.8303985596e+00
   70.750   72.250 -4.4827423096e+00
   70.750   72.500 -5.1360626221e+00
   70.500   71.500 -3.5149688721e+00
   70.500   71.750 -3.7669219971e+00
   70.500   72.000 -4.0335235596e+00
   70.500   72.250 -4.6946563721e+00
   70.500   72.500 -5.4173126221e+00
   70.250   71.500 -3.7053985596e+00
   70.250   71.750 -3.9661407471e+00
   70.250   72.000 -4.2327423096e+00
   70.250   72.250 -5.0091094971e+00
   70.250   72.500 -5.7708282471e+00
   70.000   71.500 -3.8577423096e+00
   70.000   71.750 -4.1419219971e+00
   70.000   72.000 -4.4114532471e+00
   70.000   72.250 -5.1966094971e+00
   70.000   72.500 -5.9778594971e+00
Latitude Longitude Value
   71.000   71.500 1.5056762695e+00
   71.000   71.750 1.6140747070e+00
   71.000   72.000 1.6326293945e+00
   71.000   72.250 1.2400512695e+00
   71.000   72.500 8.4063720703e-01
   70.750   71.500 1.4324340820e+00
   70.750   71.750 1.6023559570e+00
   70.750   72.000 1.7722778320e+00
   70.750   72.250 1.3875122070e+00
   70.750   72.500 1.0037231445e+00
   70.500   71.500 1.4480590820e+00
   70.500   71.750 1.6404418945e+00
   70.500   72.000 1.8123168945e+00
   70.500   72.250 1.4236450195e+00
   70.500   72.500 9.4903564453e-01
   70.250   71.500 1.3562622070e+00
   70.250   71.750 1.5711059570e+00
   70.250   72.000 1.7957153320e+00
   70.250   72.250 1.1619262695e+00
   70.250   72.500 5.8380126953e-01
   70.000   71.500 1.3679809570e+00
   70.000   71.750 1.5750122070e+00
   70.000   72.000 1.8025512695e+00
   70.000   72.250 1.1609497070e+00
   70.000   72.500 4.7540283203e-01
Latitude Longitude Value
   71.000   71.500 -5.2427062988e+00
   71.000   71.750 -5.1509094238e+00
   71.000   72.000 -5.1001281738e+00
   71.000   72.250 -5.2348937988e+00
   71.000   72.500 -5.3706359863e+00
   70.750   71.500 -5.2778625488e+00
   70.750   71.750 -5.2300109863e+00
   70.750   72.000 -5.1811828613e+00
   70.750   72.250 -5.1743469238e+00
   70.750   72.500 -5.1675109863e+00
   70.500   71.500 -5.5239562988e+00
   70.500   71.750 -5.4761047363e+00
   70.500   72.000 -5.4272766113e+00
   70.500   72.250 -5.4204406738e+00
   70.500   72.500 -5.3052062988e+00
   70.250   71.500 -5.7280578613e+00
   70.250   71.750 -5.6626281738e+00
   70.250   72.000 -5.5835266113e+00
   70.250   72.250 -5.3667297363e+00
   70.250   72.500 -5.1821594238e+00
   70.000   71.500 -5.7759094238e+00
   70.000   71.750 -5.7280578613e+00
   70.000   72.000 -5.6489562988e+00
   70.000   72.250 -5.4282531738e+00
   70.000   72.500 -5.2026672363e+00
Latitude Longitude Value
   71.000   71.500 2.5690307617e+00
   71.000   71.750 2.6325073242e+00
   71.000   72.000 2.5797729492e+00
   71.000   72.250 2.0270385742e+00
   71.000   72.500 1.4743041992e+00
   70.750   71.500 2.7252807617e+00
   70.750   71.750 2.8815307617e+00
   70.750   72.000 3.0377807617e+00
   70.750   72.250 2.5475463867e+00
   70.750   72.500 2.0573120117e+00
   70.500   71.500 2.8219604492e+00
   70.500   71.750 3.0182495117e+00
   70.500   72.000 3.1764526367e+00
   70.500   72.250 2.6803588867e+00
   70.500   72.500 2.2711791992e+00
   70.250   71.500 2.6325073242e+00
   70.250   71.750 2.8883666992e+00
   70.250   72.000 3.1793823242e+00
   70.250   72.250 2.9869995117e+00
   70.250   72.500 2.7106323242e+00
   70.000   71.500 2.5612182617e+00
   70.000   71.750 2.8463745117e+00
   70.000   72.000 3.1403198242e+00
   70.000   72.250 2.9459838867e+00
   70.000   72.500 2.7975463867e+00
Latitude Longitude Value
   71.000   71.500 -4.8117370605e+00
   71.000   71.750 -4.7091979980e+00
   71.000   72.000 -4.6652526855e+00
   71.000   72.250 -4.9523620605e+00
   71.000   72.500 -5.2697448730e+00
   70.750   71.500 -4.6261901855e+00
   70.750   71.750 -4.5451354980e+00
   70.750   72.000 -4.4640808105e+00
   70.750   72.250 -4.7902526855e+00
   70.750   72.500 -5.1164245605e+00
